time,open,high,low,close,volume
2025-01-01 00:00:00,93432,94357,93330,94254,241.7459000000002
2025-01-01 01:00:00,94254,94258,93445,93472,60.6116
2025-01-01 02:00:00,93472,93967,93457,93938,29.0838
2025-01-01 03:00:00,93938,93938,93579,93679,47.5675
2025-01-01 04:00:00,93679,93679,93366,93399,21.8953
2025-01-01 05:00:00,93399,93755,93376,93629,20.6355
2025-01-01 06:00:00,93629,93629,93415,93594,14.8345
2025-01-01 07:00:00,93594,93652,93507,93544,7.774
2025-01-01 08:00:00,93544,93614,93157,93290,45.5369
2025-01-01 09:00:00,93290,93344,92651,93248,250.3755000000001
2025-01-01 10:00:00,93248,93385,93102,93153,38.0296
2025-01-01 11:00:00,93153,93539,93007,93289,33.0526
2025-01-01 12:00:00,93289,93816,93232,93700,205.0331
2025-01-01 13:00:00,93700,93931,93451,93894,151.4149
2025-01-01 14:00:00,93894,94318,93519,94028,266.471
2025-01-01 15:00:00,94028,94343,93748,94273,87.1632
2025-01-01 16:00:00,94273,94325,93761,93937,86.7875
2025-01-01 17:00:00,93937,94026,93578,93983,113.9637
2025-01-01 18:00:00,93983,94214,93782,94166,72.2161
2025-01-01 19:00:00,94166,94678,93968,94482,111.4175
2025-01-01 20:00:00,94482,94718,94450,94646,81.127
2025-01-01 21:00:00,94646,95032,94539,94822,128.7421
2025-01-01 22:00:00,94822,94840,94520,94635,81.3378
2025-01-01 23:00:00,94635,94797,94377,94431,70.863
2025-01-02 00:00:00,94431,95236,94210,94967,174.0083
2025-01-02 01:00:00,94967,95402,94577,94724,121.3428
2025-01-02 02:00:00,94724,95098,94660,95098,56.5296
2025-01-02 03:00:00,95098,95167,94789,94881,34.3782
2025-01-02 04:00:00,94881,95888,94862,95588,132.0799
2025-01-02 05:00:00,95588,95688,95267,95467,53.4013
2025-01-02 06:00:00,95467,95577,95246,95481,31.1278
2025-01-02 07:00:00,95481,95800,95412,95733,53.2894
2025-01-02 08:00:00,95733,96134,95523,96051,84.5777
2025-01-02 09:00:00,96051,96722,95932,96660,107.7479
2025-01-02 10:00:00,96660,96727,96411,96617,206.7601
2025-01-02 11:00:00,96617,96800,96381,96655,86.5007
2025-01-02 12:00:00,96655,96842,96540,96800,80.8719
2025-01-02 13:00:00,96800,96913,96316,96387,115.7868
2025-01-02 14:00:00,96387,97440,95860,97226,479.712599999999
2025-01-02 15:00:00,97226,97268,96084,96409,266.5313
2025-01-02 16:00:00,96409,97600,95972,97183,370.0190000000001
2025-01-02 17:00:00,97183,97550,96210,96672,378.6007
2025-01-02 18:00:00,96672,97280,96312,97243,331.7985000000001
2025-01-02 19:00:00,97243,97728,97118,97249,300.3149999999999
2025-01-02 20:00:00,97249,97774,97200,97226,251.5647
2025-01-02 21:00:00,97226,97279,96956,97152,110.2448
2025-01-02 22:00:00,97152,97152,96568,96829,67.7096
2025-01-02 23:00:00,96829,97028,96707,96918,46.536
2025-01-03 00:00:00,96918,97012,96710,96764,27.4669
2025-01-03 01:00:00,96764,96944,96560,96910,51.9507
2025-01-03 02:00:00,96910,97300,96775,96905,58.1139
2025-01-03 03:00:00,96905,97032,96769,97001,32.0401
2025-01-03 04:00:00,97001,97001,96726,96765,109.5902999999998
2025-01-03 05:00:00,96765,96822,96533,96712,60.8682
2025-01-03 06:00:00,96712,96879,96448,96493,113.74
2025-01-03 07:00:00,96493,96630,96241,96265,130.336
2025-01-03 08:00:00,96265,96484,96050,96068,78.751
2025-01-03 09:00:00,96068,96680,96050,96514,101.532
2025-01-03 10:00:00,96514,96600,96340,96448,33.877
2025-01-03 11:00:00,96448,96797,96442,96725,68.8198
2025-01-03 12:00:00,96725,96899,96622,96623,41.6755
2025-01-03 13:00:00,96623,96788,96409,96463,117.845
2025-01-03 14:00:00,96463,97331,96463,96980,290.8118000000001
2025-01-03 15:00:00,96980,97637,96717,97491,331.8418999999999
2025-01-03 16:00:00,97491,98435,97360,97819,327.7415
2025-01-03 17:00:00,97819,98261,97806,98000,123.3569
2025-01-03 18:00:00,98000,98672,97949,98493,161.9233
2025-01-03 19:00:00,98493,98975,98450,98588,285.1665000000001
2025-01-03 20:00:00,98588,98736,98266,98289,125.6602
2025-01-03 21:00:00,98289,98404,98157,98247,74.5222
2025-01-03 22:00:00,98247,98494,98234,98307,117.8298
2025-01-03 23:00:00,98307,98378,98040,98153,66.8452
2025-01-04 00:00:00,98153,98261,97869,97937,54.766
2025-01-04 01:00:00,97937,98078,97755,98022,35.6244
2025-01-04 02:00:00,98022,98284,97820,98278,51.3543
2025-01-04 03:00:00,98278,98280,98031,98195,89.9633
2025-01-04 04:00:00,98195,98195,97842,97987,38.87600000000001
2025-01-04 05:00:00,97987,98192,97961,98130,127.9359999999999
2025-01-04 06:00:00,98130,98206,98038,98132,19.8976
2025-01-04 07:00:00,98132,98334,98098,98260,40.6857
2025-01-04 08:00:00,98260,98316,97908,97914,71.1642
2025-01-04 09:00:00,97914,97988,97518,97689,74.5342
2025-01-04 10:00:00,97689,97850,97580,97800,115.5711
2025-01-04 11:00:00,97800,97940,97712,97902,44.9987
2025-01-04 12:00:00,97902,98064,97796,97894,99.2035
2025-01-04 13:00:00,97894,98086,97754,97987,43.6771
2025-01-04 14:00:00,97987,98099,97850,98045,68.7922
2025-01-04 15:00:00,98045,98191,97550,97702,134.9473999999999
2025-01-04 16:00:00,97702,97887,97596,97741,42.36519999999999
2025-01-04 17:00:00,97741,98064,97730,98041,31.653
2025-01-04 18:00:00,98041,98152,97925,97974,67.388
2025-01-04 19:00:00,97974,98392,97940,98174,74.8233
2025-01-04 20:00:00,98174,98702,98174,98606,60.5633
2025-01-04 21:00:00,98606,98779,98324,98365,122.4464
2025-01-04 22:00:00,98365,98489,98275,98428,30.01119999999999
2025-01-04 23:00:00,98428,98428,98137,98237,37.1072
